id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3970161,Double Room with Private Bathroom,20486026,Timothy,Mitte,Parkviertel,52.54748,13.34701,Entire home/apt,55,1,276,2019-11-08,4.35,2,340
3973420,Central Stylish Berlin Apartment (registered),14474248,Simone,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,52.52112,13.4333,Entire home/apt,85,4,144,2019-10-31,2.33,1,259
3974304,Air-conditioned loft apartment  9m² leafy Terrace,20549237,Carsten,Tempelhof - Schöneberg,Schöneberg-Süd,52.48246,13.362,Entire home/apt,77,3,237,2019-11-04,4.15,1,0
3975834,Big Room in Neuköllnapartement ,4687183,Lukas,Neukölln,Reuterstraße,52.48266,13.4345,Private room,25,1,3,2015-09-01,0.05,1,0
3976211,Wunderschönes Dachgeschoss ,20560972,Anna,Charlottenburg-Wilm.,Neue Kantstraße,52.50098,13.30577,Entire home/apt,155,3,97,2019-10-01,1.60,2,231
3977156,BRIGHT BIG ROOM CENTRAL IN BERLIN!!,20611737,Anano,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49034,13.42207,Private room,35,5,0,,,1,0
3978406,Beautiful Cozy Berlinstyle Room,20618897,Anne,Neukölln,Neuköllner Mitte/Zentrum,52.47903,13.43019,Private room,25,2,25,2019-08-16,0.60,2,0
3979513,very nice big room in 2 room apartment,9513358,Anne,Pankow,Prenzlauer Berg Ost,52.53018,13.44732,Private room,45,3,2,2019-06-23,0.38,1,0
3981991,Lovely Bedroom in a privat Flat in Kreuzberg,6965709,Anna,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49531,13.4365,Private room,46,2,10,2019-08-16,0.18,1,165
3983343,Beautiful 3-bed room apartment ,20646803,Adina,Tempelhof - Schöneberg,Schöneberg-Nord,52.49042,13.36098,Entire home/apt,110,5,4,2016-08-14,0.06,1,0
3984110,Nice room Prenzlauer Berg,11645832,Lise,Pankow,Pankow Zentrum,52.56624,13.4086,Private room,24,1,6,2016-01-02,0.12,1,0
3986573,Nice apartment (almost empty because of move),11284608,Philip,Neukölln,Rixdorf,52.47388,13.45278,Entire home/apt,65,2,22,2018-04-20,0.35,1,0
3988568,Jainaba Single Studio with private bathroom,20486026,Timothy,Mitte,Parkviertel,52.54798,13.34821,Entire home/apt,55,1,286,2019-11-09,4.76,2,324
3988630,AAA Designoasis under Berlin roof,20676946,Ulla,Charlottenburg-Wilm.,Neue Kantstraße,52.50596,13.30161,Entire home/apt,85,62,6,2015-12-06,0.10,1,320
3992681,Art-filled Wonderland in Art Nouveau Building Next Park,20653948,George,Treptow - Köpenick,Plänterwald,52.48724,13.46428,Entire home/apt,320,4,56,2019-10-20,0.89,2,164
